DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1207,Ly-9093,GrA-,,2125,30,,charcoal,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1208,Ly-9094,GrA-,,2350,40,,charcoal,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1209,Ly-9095,GrA-,,2185,30,,charcoal,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1210,Ly-9096,GrA-,,2160,30,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1211,Lyon-14584(SacA-51527),,,5835,30,,bone,Homo Sapiens,430,"Arene Candide, Finale Ligure",burial,cave,8.3283,44.1625,A,Sparacello et al. 2020,
1212,Lyon-14585(SacA-51528),,,5860,30,,bone,Homo Sapiens,430,"Arene Candide, Finale Ligure",burial,cave,8.3283,44.1625,A,Sparacello et al. 2020,
1213,Lyon-14586(SacA-51529),,,5915,30,,bone,Homo Sapiens,430,"Arene Candide, Finale Ligure",burial,cave,8.3283,44.1625,A,Sparacello et al. 2020,
1214,Lyon-14587(SacA-51530),,,5895,30,,bone,Homo Sapiens,430,"Arene Candide, Finale Ligure",burial,cave,8.3283,44.1625,A,Sparacello et al. 2020,
1215,Lyon-14603(SacA-51546),,,5790,30,,bone,Homo Sapiens,9616,"Grotta Pollera, Finale Ligure",burial,cave,8.3146,44.2006,A,Sparacello et al. 2020,
1216,Lyon-2744,,,7650,40,,bone,,9448,"Abisso El Topo, Ormea",AET 627,settlement,7.6413,44.1835,A,BANADORA,
1217,Lyon-2763,,,3370,35,,bone,,7555,Pozzo Degli Orsi,PO 161,settlement,7.8647,44.1911,A,BANADORA,
1218,Lyon-2931,,,8695,55,,bone,,7555,Pozzo Degli Orsi,PO 218,settlement,7.8647,44.1911,A,BANADORA,
